Age,TEX86,Temp,SD
0.25,0.69,25.88,0.86
0.57,0.69,26.17,0.19
1.75,0.71,26.87,0.76
2.96,0.69,26.16,0.71
3.32,0.7,26.6,0.21
3.54,0.7,26.71,0.43
4.23,0.72,27.79,0.45
4.45,0.72,27.49,0.56
4.77,0.73,28.52,0.46
5.05,0.74,28.93,0.58
5.46,0.74,28.61,0.02
6.22,0.72,27.6,0.11
6.72,0.72,27.58,0.22
7.45,0.68,25.06,0.78
7.58,0.69,25.91,0.56
7.79,0.68,25.09,0.25
8.02,0.69,25.81,0.02
8.23,0.66,24.35,0.23
8.92,0.69,26.17,0.67
10.23,0.69,25.85,0.71
10.9,0.68,25.52,0.49
11.46,0.7,26.44,0.78
11.94,0.7,26.6,0.64
12.2,0.69,25.84,0.12
12.51,0.68,25.3,0.14
12.72,0.68,25.48,0.55
12.98,0.71,27.13,0.28
13.52,0.69,25.64,0.18
13.74,0.72,27.49,0.08
13.84,0.73,28.15,0.55
14.29,0.71,27,0.06
14.51,0.7,26.37,0.65
14.89,0.69,25.86,0.66
15.94,0.67,24.97,0.57
17.58,0.65,23.48,0.77
18.52,0.64,23.09,0.83
19.01,0.64,23.13,0.74
20.01,0.63,22.58,0.58
20.78,0.63,22.52,0.43
21.77,0.66,23.98,0.3
22.43,0.66,24.13,0.01
23.24,0.67,24.48,0.58
23.88,0.66,24.19,0.03
